7369b158244,GitHub,Mark Vieira,Ensure correct jdbc driver version is passed to bwc tests (#65241),Wed Nov 18 13:55:53 2020 -0800
303c375e377,GitHub,Ryan Ernst,Use different security policies for eclipse vs intellij (#65234),Wed Nov 18 12:00:03 2020 -0800
fb53dc31674,GitHub,DeDe Morton,Fix links to Fleet overview (#65174),Wed Nov 18 10:26:04 2020 -0800
54d58ff5e5f,GitHub,Przemko Robakowski,Additionl logging for ScheduleTriggerEngineMock (#65215),Wed Nov 18 19:05:33 2020 +0100
e5352c0833e,GitHub,Benjamin Trent,[ML] fixing ml.upgrade_job_snapshot.json spec (#65224),Wed Nov 18 13:00:04 2020 -0500
cc75bda411b,GitHub,James Rodewig,[DOCS] Remote reindex is not fwd compatible (#65207),Wed Nov 18 12:29:05 2020 -0500
db43a1c0139,GitHub,Costin Leau,EQL: Add wildcard functionality to : operator (#65188),Wed Nov 18 19:19:39 2020 +0200
cb657c2629d,GitHub,Armin Braun,Fix Allocation `include` Filter Docs (#65202),Wed Nov 18 17:59:59 2020 +0100
67105087f38,GitHub,Rene Groeschke,Fix docker packaging tests (#65199),Wed Nov 18 17:16:01 2020 +0100
661409a5a06,GitHub,James Rodewig,[DOCS] Clarify logger-package relationship (#65169),Wed Nov 18 10:28:06 2020 -0500
e4ce39845b5,GitHub,David Roberts,[ML] Add total ML memory to ML info (#65195),Wed Nov 18 15:06:21 2020 +0000
67e1128e05b,GitHub,Henning Andersen,Fix remove alias with must_exist (#65141),Wed Nov 18 16:00:15 2020 +0100
15bdec49c74,GitHub,Nhat Nguyen,Optimize role bitset in document level security (#64673),Wed Nov 18 09:06:03 2020 -0500
585fd73bee0,GitHub,bellengao,[DOCS] Format the ilm-migrate doc (#65182),Wed Nov 18 09:02:07 2020 -0500
ceb1367a6b6,GitHub,Dan Hermann,Preserve ordering when resolving data stream indices (#65027),Wed Nov 18 07:16:07 2020 -0600
b3a4fc4d6ca,GitHub,Przemko Robakowski,Fix trigger assertion error in watcher tests (#65186),Wed Nov 18 12:09:49 2020 +0100
26b04c1ab9b,GitHub,David Kyle,[ML] Truncate long audit messages (#64849),Wed Nov 18 10:34:48 2020 +0000
ba5f4541390,GitHub,Armin Braun,Minor Cleanup in org.elasticsearch.common.collect (#64955),Wed Nov 18 11:17:00 2020 +0100
d6f1ef93554,GitHub,David Kyle,Mute TimeThrottleIntegrationTests (#65181),Wed Nov 18 09:40:43 2020 +0000
78249abd2a3,GitHub,Andrei Dan,Tests: fix testExplainLifecycle flakiness (#65050),Wed Nov 18 09:18:20 2020 +0000
05babac79be,GitHub,Andrei Dan,Use WaitForIndexColorStep and drop WaitForYellowStep (#65085),Wed Nov 18 09:15:36 2020 +0000
